year,survey,type,type_survey,year_type_survey,coding,statistics,modeling,command_line,bioinformatics,comp_resources,mol_bio,gen_breed,plant_devo,phylogen,team,other_countries,across_languages,management,interdisc,sci_comm,sci_writing
y23,1_mid,msu,msu_mid,y23_msu_mid,8,7,8,7,7,8,10,10,8,8,9,10,10,9,10,10,10
y23,1_mid,msu,msu_mid,y23_msu_mid,4,8,3,3,3,4,5,5,8,4,8,8,7,5,6,9,8
y23,1_mid,msu,msu_mid,y23_msu_mid,3,6,2,2,2,2,4,7,7,4,10,8,8,9,6,5,5
y23,1_mid,msu,msu_mid,y23_msu_mid,6,7,6,6,5,8,6,6,8,8,8,9,8,9,8,7,6
y23,1_mid,msu,msu_mid,y23_msu_mid,5,5,5,5,5,5,7,7,4,3,10,10,8,6,7,2,7
y23,1_mid,msu,msu_mid,y23_msu_mid,9,9,8,9,6,9,6,7,6,6,8,9,9,7,7,7,4
y23,1_mid,msu,msu_mid,y23_msu_mid,2,2,2,2,2,2,8,1,2,1,10,10,10,9,8,8,3
y23,1_mid,msu,msu_mid,y23_msu_mid,6,8,5,7,7,6,8,7,4,4,4,4,5,4,4,5,3
y23,1_mid,msu,msu_mid,y23_msu_mid,9,9,9,9,5,9,5,5,5,5,10,10,10,10,10,9,8
y23,1_mid,msu,msu_mid,y23_msu_mid,8,8,8,8,4,8,2,4,3,1,8,10,10,8,7,8,7
y23,1_mid,msu,msu_mid,y23_msu_mid,6,6,6,5,1,4,1,1,1,1,8,6,7,7,6,6,5
y23,2_final,unam,unam_final,y23_unam_final,7,8,6,7,8,7,9,7,7,8,8,8,8,7,8,7,7
y23,2_final,unam,unam_final,y23_unam_final,8,8,7,8,8,8,6,6,4,3,8,10,10,7,7,6,7
y23,2_final,unam,unam_final,y23_unam_final,6,6,6,7,6,7,5,5,8,8,7,10,10,7,7,10,10
y23,2_final,unam,unam_final,y23_unam_final,8,7,7,5,7,8,7,5,5,7,10,10,10,9,8,10,10
y23,2_final,unam,unam_final,y23_unam_final,6,8,5,8,8,8,9,3,4,8,9,9,9,7,6,8,8
y23,2_final,unam,unam_final,y23_unam_final,8,9,6,7,7,7,10,7,6,6,9,10,10,8,10,9,9
y23,2_final,unam,unam_final,y23_unam_final,9,10,9,9,9,8,9,9,9,9,10,10,10,9,9,9,9
y23,2_final,unam,unam_final,y23_unam_final,8,6,9,9,9,8,9,9,9,9,7,9,8,8,7,8,8
y23,2_final,unam,unam_final,y23_unam_final,9,9,7,8,8,8,8,3,5,8,8,8,8,9,8,7,8
y23,2_final,unam,unam_final,y23_unam_final,7,7,6,8,7,8,8,7,8,9,8,8,7,8,9,7,7
y23,2_final,unam,unam_final,y23_unam_final,8,5,5,8,8,8,9,5,5,5,10,10,10,10,10,8,10
y23,0_initial,unam,unam_initial,y23_unam_initial,7,6,5,5,6,7,7,3,1,1,6,10,10,10,5,8,6
y23,0_initial,unam,unam_initial,y23_unam_initial,3,7,1,1,1,1,9,4,2,2,5,8,9,1,8,9,7
y23,0_initial,unam,unam_initial,y23_unam_initial,5,4,3,4,4,5,3,2,2,2,6,6,7,6,6,4,5
y23,0_initial,unam,unam_initial,y23_unam_initial,3,6,1,6,7,7,9,2,2,5,8,8,8,6,5,7,6
y23,0_initial,unam,unam_initial,y23_unam_initial,3,4,4,4,2,6,4,2,2,5,10,10,10,7,10,7,7
y23,0_initial,unam,unam_initial,y23_unam_initial,1,4,1,1,1,1,8,8,8,1,8,5,1,5,7,5,7
y23,0_initial,unam,unam_initial,y23_unam_initial,2,8,2,2,1,1,4,6,8,3,9,9,5,8,7,10,10
y23,0_initial,unam,unam_initial,y23_unam_initial,7,7,3,7,3,8,6,5,1,1,8,10,9,10,8,9,8
y23,0_initial,unam,unam_initial,y23_unam_initial,2,1,1,2,2,2,5,1,1,1,10,10,10,6,6,5,9
y23,0_initial,unam,unam_initial,y23_unam_initial,1,6,1,6,7,5,8,1,1,1,6,10,8,6,8,8,8
y23,0_initial,unam,unam_initial,y23_unam_initial,5,3,6,6,7,7,9,9,8,9,4,8,8,6,8,8,7
y23,0_initial,unam,unam_initial,y23_unam_initial,7,9,7,7,7,8,8,5,7,8,8,10,10,8,6,9,10
y23,0_initial,unam,unam_initial,y23_unam_initial,8,7,7,8,8,8,5,1,5,7,10,10,10,8,10,10,9
y23,1_mid,unam,unam_mid,y23_unam_mid,8,9,7,7,8,7,9,2,2,9,7,8,8,6,6,5,7
y23,1_mid,unam,unam_mid,y23_unam_mid,5,7,3,8,8,7,9,3,5,7,8,8,9,8,7,8,7
y23,1_mid,unam,unam_mid,y23_unam_mid,7,9,7,8,7,7,7,9,9,7,10,7,7,9,10,9,10
y23,1_mid,unam,unam_mid,y23_unam_mid,9,9,7,9,5,9,8,2,2,2,9,9,9,10,9,7,10
y23,1_mid,unam,unam_mid,y23_unam_mid,8,8,7,8,7,7,8,7,8,7,10,10,10,7,10,10,10
y23,1_mid,unam,unam_mid,y23_unam_mid,8,8,8,7,7,9,7,7,7,8,9,9,9,7,8,10,10
y23,1_mid,unam,unam_mid,y23_unam_mid,7,5,8,8,7,7,9,9,9,8,7,8,9,7,8,8,8
y23,1_mid,unam,unam_mid,y23_unam_mid,8,8,6,6,7,5,7,5,2,2,8,9,10,8,8,8,8
y23,1_mid,unam,unam_mid,y23_unam_mid,8,8,5,9,8,8,9,5,3,2,8,5,10,6,8,10,8
y23,1_mid,unam,unam_mid,y23_unam_mid,7,7,7,7,8,7,8,7,8,9,7,7,6,7,7,8,8
y23,1_mid,unam,unam_mid,y23_unam_mid,5,5,5,3,5,6,5,1,5,6,6,8,8,6,8,8,8
y23,1_mid,unam,unam_mid,y23_unam_mid,5,8,6,6,6,6,8,6,6,6,7,7,5,5,7,6,6
